level,notation,prefLabel,mapping,scopeNote
0,0,"Allgemeines, Informatik, Informationswissenschaft",,
1,000,"Allgemeines, Wissenschaft",000-003,
1,004,"Informatik",004-006,
1,010,"Bibliografien",010,
1,020,"Bibliotheks- und Informationswissenschaft",020,
1,030,"Enzyklopädien",030,
1,050,"Zeitschriften, fortlaufende Sammelwerke",050,
1,060,"Organisationen, Museumswissenschaft",060,
1,070,"Nachrichtenmedien, Journalismus, Verlagswesen",070,
1,080,"Allgemeine Sammelwerke",080,
1,090,"Handschriften, seltene Bücher",090,
0,1,"Philosophie und Psychologie",,
1,100,"Philosophie","100-120, 140, 160-190",
1,130,"Parapsychologie, Okkultismus",130,
1,150,"Psychologie",150,
0,2,"Religion",,
1,200,"Religion, Religionsphilosophie","200, 210",
1,220,"Bibel",220,
1,230,"Theologie, Christentum",230-280,
1,290,"Andere Religionen",290,
0,3,"Sozialwissenschaften",,
1,300,"Sozialwissenschaften, Soziologie, Anthropologie",300,
1,310,"Allgemeine Statistiken",310,
1,320,"Politik",320,
1,330,"Wirtschaft",330,"Management in 650"
1,333.7,"Natürliche Ressourcen, Energie und Umwelt",333.7-333.9,
1,340,"Recht",340,"Kriminologie, Strafvollzug in 360"
1,350,"Öffentliche Verwaltung",350-354,
1,355,"Militär",355-359,
1,360,"Soziale Probleme, Sozialdienste, Versicherungen",360,
1,370,"Erziehung, Schul- und Bildungswesen",370,
1,380,"Handel, Kommunikation, Verkehr",380,"Philatelie in 760"
1,390,"Bräuche, Etikette, Folklore",390,
0,4,"Sprache",,
1,400,"Sprache, Linguistik","400, 410",
1,420,"Englisch",420,
1,430,"Deutsch",430,
1,439,"Andere germanische Sprachen",439,
1,440,"Französisch, romanische Sprachen allgemein",440,
1,450,"Italienisch, Rumänisch, Rätoromanisch",450,
1,460,"Spanisch, Portugiesisch",460,
1,470,"Latein",470,
1,480,"Griechisch",480,
1,490,"Andere Sprachen",490,
1,491.8,"Slawische Sprachen",491.7-491.8,
0,5,"Naturwissenschaften und Mathematik",,
1,500,"Naturwissenschaften",500,
1,510,"Mathematik",510,
1,520,"Astronomie, Kartografie",520,
1,530,"Physik",530,
1,540,"Chemie",540,"Biochemie in 570"
1,550,"Geowissenschaften",550,"Kartografie, Geodäsie in 520; Kristallografie, Mineralogie in 540"
1,560,"Paläontologie",560,
1,570,"Biowissenschaften, Biologie",570,
1,580,"Pflanzen (Botanik)",580,
1,590,"Tiere (Zoologie)",590,
0,6,"Technik, Medizin, angewandte Wissenschaften",,
1,600,"Technik",600,
1,610,"Medizin, Gesundheit",610,"Veterinärmedizin in 630"
1,620,"Ingenieurwissenschaften und Maschinenbau","620, 621 (außer 621.3 und 621.46), 623, 625.19, 625.2, 629 (außer 629.8)",
1,621.3,"Elektrotechnik, Elektronik","621.3, 621.46, 629.8",
1,624,"Ingenieurbau und Umwelttechnik","622, 624-628 (außer 625.19 und 625.2)",
1,630,"Landwirtschaft, Veterinärmedizin",630,
1,640,"Hauswirtschaft und Familienleben",640,
1,650,"Management",650,
1,660,"Technische Chemie",660,
1,670,"Industrielle und handwerkliche Fertigung","670, 680",
1,690,"Hausbau, Bauhandwerk",690,
0,7,"Künste und Unterhaltung",,
1,700,"Künste, Bildende Kunst allgemein",700,
1,710,"Landschaftsgestaltung, Raumplanung",710,
1,720,"Architektur",720,
1,730,"Plastik, Numismatik, Keramik, Metallkunst",730,
1,740,"Grafik, angewandte Kunst",740,
1,741.5,"Comics, Cartoons, Karikaturen",741.5,
1,750,"Malerei",750,
1,760,"Druckgrafik, Drucke",760,
1,770,"Fotografie, Video, Computerkunst",770,
1,780,"Musik",780,
1,790,"Freizeitgestaltung, Darstellende Kunst",790-790.2,
1,791,"Öffentliche Darbietungen, Film, Rundfunk",791,
1,792,"Theater, Tanz",792,
1,793,"Spiel",793-795,
1,796,"Sport",796-799,
0,8,"Literatur",,
1,800,"Literatur, Rhetorik, Literaturwissenschaft",800,
1,810,"Englische Literatur Amerikas",810,
1,820,"Englische Literatur",820,
1,830,"Deutsche Literatur",830,
1,839,"Literatur in anderen germanischen Sprachen",839,
1,840,"Französische Literatur",840,
1,850,"Italienische, rumänische, rätoromanische Literatur",850,
1,860,"Spanische und portugiesische Literatur",860,
1,870,"Lateinische Literatur",870,
1,880,"Griechische Literatur",880,
1,890,"Literatur in anderen Sprachen",890,
1,891.8,"Slawische Literatur",891.7-891.8,
0,9,"Geschichte und Geografie",,
1,900,"Geschichte",900,
1,910,"Geografie, Reisen",910,
1,914.3,"Geografie, Reisen (Deutschland)",914.3-914.35,
1,914.36,"Geografie, Reisen (Österreich)",914.36,"In der Österreichischen Bibliografie"
1,914.94,"Geografie, Reisen (Schweiz)",,"Im Schweizer Buch, der Schweizerischen Nationalbibliografie"
1,920,"Biografie, Genealogie, Heraldik",920,
1,930,"Alte Geschichte, Archäologie",930,
1,940,"Geschichte Europas",940,
1,943,"Geschichte Deutschlands",943-943.5,
1,943.6,"Geschichte Österreichs",943.6,"In der Österreichischen Bibliografie"
1,949.4,"Geschichte der Schweiz",949.4,"Im Schweizer Buch, der Schweizerischen Nationalbibliografie"
1,950,"Geschichte Asiens",950,
1,960,"Geschichte Afrikas",960,
1,970,"Geschichte Nordamerikas",970,
1,980,"Geschichte Südamerikas",980,
1,990,"Geschichte der übrigen Welt",990,
0,B,"Belletristik",,"Wird nur als zusätzliche Sachgruppe zusätzlich zu den Hauptsachgruppen 800-890 vergeben"
0,K,"Kinder- und Jugendliteratur",,
0,S,"Schulbücher",,
