notation,prefLabel
0,Ohne (Ohne Autopsie keine Notation möglich)
1,Ohne (Neukatalogisate DNB ab 2007)
100,"Allgemeine Zeitschriften und Zeitungen, Kulturzeitschriften"
110,Allgemeine Bibliographien
120,Allgemeine Biographien
125,"Wissenschaftliche Organisationen und Institutionen, Akademien"
130,"Informationswesen, Medien, Publizistik"
135,"Bibliothekswesen, Dokumentation, Buchhandels- und Verlagswesen"
140,"Museums- und Archivwesen, Denkmalpflege"
150,Universitäten und Hochschulen
160,"Naturschutz, Umweltforschung"
170,Orientalistik
180,Judaica
200,Philosophie
210,Weltanschauungen
220,"Religionswissenschaft, nichtchristliche Religionen"
230,"Christliche Religionen, Theologie"
232,Bibelwissenschaft
234,Kirchengeschichte
236,Kirchenverwaltung
238,Praktische Theologie
260,Psychologie
280,"Pädagogik, Schulwesen, Ausbildung"
300,"Geschichte und Kulturgeschichte, allgemein Kriegs- und Militärgeschichte, Wissenschaftsgeschichte"
305,Historische Hilfswissenschaften
310,"Vor- und Frühgeschichte, Archäologie"
320,Alte Geschichte
325,Mittelalterliche Geschichte
330,Geschichte der Neuzeit
335,Zeitgeschichte (20. Jh.)
340,Deutsche Landesgeschichte
341,Landesgeschichte und Landeskunde Baden-Württemberg
342,Landesgeschichte und Landeskunde Bayern
343,Landesgeschichte und Landeskunde Hessen
360,Österreichische Landesgeschichte und Landeskunde
370,Geschichte und Landeskunde außerdeutscher Länder
390,"Ethnologie, Völkerkunde"
400,"Allgemeine Sprachwissenschaft, Linguistik"
405,Allgemeine Literaturwissenschaft
410,"Anglistik, Amerikanistik"
420,Germanische Philologie
430,Klassische Altertumswissenschaften
440,Romanistik
450,Slawistik
460,Sonstige Sprachen und Literaturen
470,Kunstwissenschaft
480,Musikwissenschaft
490,Theaterwissenschaft
500,"Rechtswissenschaft, allgemein"
510,"Gesetzesblätter, Amtsblätter"
520,Entscheidungssammlungen
530,"Rechtsphilosophie, Rechtsgeschichte, Verfassungsgeschichte, Rechtssoziologie"
540,"Privat-, Arbeits- und Wirtschaftsrecht und zugehörige Verfahrensrechte"
550,"Staats- und Verwaltungsrecht, sonstiges öffentliches Recht"
560,Strafrecht und Kriminologie
570,"Internationales Recht, Völkerrecht"
580,Ausländisches Recht
600,"Wirtschafts- und Sozialwissenschaften, allgemein"
601,Wirtschafts- und Sozialstatistik
605,Wirtschafts- und Sozialgeschichte
615,"Sozialfürsorge, Sozialeinrichtungen "
620,Sozialwissenschaften
630,Wirtschaftswissenschaften
631,Wirtschaftstheorie
640,Wirtschafts- und Sozialpolitik
650,Finanzwissenschaft
655,Handel und Verkehr
656,Geld- und Kreditwirtschaft
658,Wirtschaftsgeographie
660,Betriebswirtschaft
670,"Ernährungswissenschaft, Landwirtschaft, Forstwirtschaft"
680,Politikwissenschaft
682,Parlamentaria
695,Sozialismusforschung
700,"Naturwissenschaften, allgemein"
701,Naturkunde
705,Geschichte der Naturwissenschaften
710,Astronomie
720,Biologie
725,Botanik
730,Zoologie
740,Chemie
760,"Geowissenschaften,allgemein"
761,"Geologie, Mineralogie, Paläontologie"
764,"Geophysik, Meteorologie, Ozeanographie, Limnologie"
766,Geographie
770,Physik
790,Mathematik
795,Datenverarbeitung
797,Kybernetik
800,"Medizin, allgemein"
805,Geschichte der Medizin
860,"Zahnheilkunde, Kieferorthopädie"
870,"Neurologie, Psychiatrie"
880,Veterinärmedizin
890,"Pharmazie, Pharmakologie"
900,"Technik, allgemein"
905,Geschichte der Technik
910,Maschinenbau
920,"Elektrotechnik, Elektrizitätswirtschaft, Post"
930,Verkehrswesen
935,Raumfahrt
940,"Chemische Technik, Chemieingenieurwesen"
945,Bergbau und Hüttenwesen
950,"Fertigungstechnik, Werkstoffkunde, Verarbeitung von Werkstoffen, Handwerk"
960,"Bauingenieurwesen, Architektur"
970,Energietechnik
980,Sport und Spiele 
981,Unterhaltung u. Hobby 
982,"Firmenzeitschriften, Betriebszeitschriften"
984,"Vereinszeitschriften, Studentische Verbindungen"
986,"Astrologie, Occulta, Parapsychologie"
988,"Kinderzeitschriften, Comics                                                "
